Код строки	Оператор	Вид отхода	Маршрут	Подрядчик	Контейнерная площадка	Район обслуживания	Адрес КП	Блок, квартира	Время вывоза	Всего контейнеров	Количество по факту вывоза	Вид контейнера	Вид вывоза бункера	Категория операции	Комментарий	Информация водителю	Приостановлен	Расторгнут	Обратить внимание	По дням недели	пн	вт	ср	чт	пт	сб	вс	1-я нед.	2-я нед.	3-я нед.	4-я нед.	5-я нед.	1 вс	2 пн	3 вт	4 ср	5 чт	6 пт	7 сб	8 вс	9 пн	10 вт	11 ср	12 чт	13 пт	14 сб	15 вс	16 пн	17 вт	18 ср	19 чт	20 пт	21 сб	22 вс	23 пн	24 вт	25 ср	26 чт	27 пт	28 сб	29 вс	30 пн	31 вт	Ответственный	Дата строки
35 466	Чистый двор	Прочее	НеТКОверхЧ		Д-2714	дзержинск	Городской округ Дзержинск р-н, Желнино п., , д.				Нет	20 м3			ОКА	прибрежная зона,база химконтракт89535537369,89200317778	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
18 698	Чистый двор	Прочее	НеТКОнижнЧ		9406		Городской округ Дзержинск р-н, Желнино п., Красная ул.37				Нет	8 м3			ОКА	89875404757	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
7 512	Чистый двор	ТБО	М4_скания		Д-220	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 12а		14:36:00	1	Нет	1,1					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:20
7 514	Чистый двор	ТБО	Бункер 8м3		Д-220	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 12а				Нет	8 м3					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 7:30:20
16 990	Чистый двор	ТБО	М4_скания		Д-222	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 16		14:32:00	1	Нет	1,1				кафе У ИРИНЫ	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 7:30:21
6 897	Чистый двор	ТБО	М4_скания		Д-1631	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 17		13:16:00	1	Нет	1,1				маг.а/запчастей Остров сокровищ	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1	1			1			1				1	Еналиева Марина Александровна	20.12.2019 15:06:56
7 539	Чистый двор	ТБО	М4_скания		Д-223	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 17а		13:12:00	1	Нет	1,1				маг.Продукты	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1	1			1			1				1	Еналиева Марина Александровна	20.12.2019 15:06:56
7 528	Чистый двор	ТБО	М4_скания		Д-227	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 29		13:08:00	1	Нет	1,1				кафе вкусный дом	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1	1			1			1				1	Еналиева Марина Александровна	20.12.2019 15:06:56
7 538	Чистый двор	ТБО	М4_скания		Д-228	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 33		13:04:00	1	Нет	1,1				кафе Гранд, а/запчасти	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1	1			1			1				1	Еналиева Марина Александровна	20.12.2019 15:06:56
10 086	Чистый двор	ТБО	Л1		Д-1782	дзержинск	Городской округ Дзержинск р-н, Лесная поляна п., 9А			1	Нет	0,125				ИП Межнева (Обтекатели "ДАКАР") ворота, с 08.00 до 17.30 8-910-106-41-60 Сергей	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1	1		1				1			1				1		Еналиева Марина Александровна	16.12.2019 15:53:16
5 895	Чистый двор	КГМ	КГМ_М1		М-1880	московский район	Городской округ Дзержинск р-н, Орловские дворики, 373			1	Нет	кгм				(!) СДЕЛАТЬ ФОТО	Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 8:49:40
5 894	Чистый двор	ТБО	Л5		М-1880	московский район	Городской округ Дзержинск р-н, Орловские дворики, 373			2	Нет	1,1					Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 7:30:16
16 970	Чистый двор	ТБО	Бункер 8м3		Д-1258	дзержинск	Городской округ Дзержинск р-н, Северный п., , д.				Нет	8 м3					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 7:30:21
6 898	Чистый двор	ТБО	Бункер 8м3		Д-1659	дзержинск	Городской округ Дзержинск р-н, Северный п., , д.				Нет	8 м3				садовое товарищество "Пластик"	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 7:30:17
7 490	Чистый двор	ТБО	М4_скания		Д-503	дзержинск	Городской округ Дзержинск р-н, Северный п., 26д		13:24:00	2	Нет	1,1				азс	Нет	Нет	Нет	Да		2			2			Нет	Нет	Нет	Нет	Нет			2			2				2			2				2			2	2			2			2				2	Еналиева Марина Александровна	20.12.2019 15:06:56
16 974	Чистый двор	ТБО	М4_скания		Д-504	дзержинск	Городской округ Дзержинск р-н, Северный п., 93а		13:28:00	1	Нет	1,1				кафе Азиз	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1	1			1			1				1	Еналиева Марина Александровна	20.12.2019 15:06:56
7 494	Чистый двор	ТБО	М4_скания		Д-505	дзержинск	Городской округ Дзержинск р-н, Северный п., 95/1		13:32:00	1	Нет	1,1					Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 7:30:20
7 527	Чистый двор	ТБО	Бункер 8м3		Д-506	дзержинск	Городской округ Дзержинск р-н, Северный п., 99б				Нет	8 м3					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 7:30:20
16 986	Чистый двор	ТБО	М4_скания		Д-1380	дзержинск	Городской округ Дзержинск р-н, Строителей п., 2		13:00:00	1	Нет	1,1				жилой дом	Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:21
16 984	Чистый двор	ТБО	М4_скания		Д-1378	дзержинск	Городской округ Дзержинск р-н, Строителей п., 27А		14:48:00	1	Нет	1,1					Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 7:30:21
16 985	Чистый двор	ТБО	М4_скания		Д-1379	дзержинск	Городской округ Дзержинск р-н, Строителей п., 27б		14:52:00	2	Нет	1,1					Нет	Нет	Нет	Да		2			2			Нет	Нет	Нет	Нет	Нет			2			2				2			2				2			2				2			2				2	Миронов Д.М.	29.11.2019 7:30:21
16 983	Чистый двор	ТБО	М4_скания		Д-1377	дзержинск	Городской округ Дзержинск р-н, Строителей п., 43		14:44:00		Нет	8 м3			по заявке		Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 7:30:21
4 512	Чистый двор	ТБО	К4_Скания		Д-1377	дзержинск	Городской округ Дзержинск р-н, Строителей п., 43		7:18:00	1	Нет	1,1				Трансинвест, 228 27 26	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 7:30:15
68 028	Чистый двор	ТБО	Л5		Л-1406	ленинский район	Городской округ Нижний Новгород р-н, Удмуртская ул.4Е			1	Нет	1,1			z	ООО ГеоМакс-НН	Нет	Нет	Нет	Да								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	19.12.2019 10:47:47
67 997	Чистый двор	Прочее	НеТКОнижнЧ		Д-2284	дзержинск	Дзержинск г., Автозаводское ш.93литерЕ			1	Нет	8 м3	Выставить и забрать		ОКА	ДПХИ-НН,89056687627	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																	1															Еналиева Марина Александровна	16.12.2019 19:22:28
22 285	Чистый двор	Прочее	НеТКОверхЧ		Д-1180	дзержинск	Дзержинск г., Александра Матросова ул.19			1	Нет	20 м3	Забрать без возврата		ОКА	8 977 342 67 71 ООО "Добро"	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет										1	1																					Кисина Татьяна Александровна	09.12.2019 15:28:12
64 950	Чистый двор	Прочее	НеТКОнижнЧ		Д-1180	дзержинск	Дзержинск г., Александра Матросова ул.19			1	Нет	8 м3	Выставить контейнер		ОКА	ШКОЛА,89253217288	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет														1																		Еналиева Марина Александровна	13.12.2019 15:39:26
64 951	Чистый двор	Прочее	НеТКОнижнЧ		Д-1013	дзержинск	Дзержинск г., Ватутина ул.76А			1	Нет	8 м3	Забрать без возврата		ОКА	Д/САД,89253217288	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет														1				1														Еналиева Марина Александровна	17.12.2019 11:15:07
18 419	Чистый двор	Прочее	НеТКОнижнЧ		Д-2295	дзержинск	Дзержинск г., Восточное ш.1 корпус 1			1	Нет	8 м3	Выставить контейнер		ОКА	Транссетьком-волга,89307169370	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																			1													Миронов Роман Владимирович	18.12.2019 15:42:05
18 865	Чистый двор	Прочее	НеТКОнижнЧ		Д-2677	дзержинск	Дзержинск г., Восточный Промрайон Химмаш 7 км Восточного Шоссе ш.547				Нет	8 м3			ОКА	89087291014,С9:00ДО14:00	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
18 917	Чистый двор	Прочее	НеТКОнижнЧ		Д-1941	дзержинск	Дзержинск г., Грибоедова ул.10				Нет	8 м3			ОКА	Пед.колледж,89081505093	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
9 309	Чистый двор	Прочее	НеТКОнижнЧ		Д-1093	дзержинск	Дзержинск г., Грибоедова ул.31				Нет	8 м3			ОКА	89103910148НИИК	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
11 754	Чистый двор	Прочее	НеТКОнижнЧ		Д-484	дзержинск	Дзержинск г., Дзержинского пл.1			1	Нет	8 м3	Забрать без возврата		ОКА	МКУ Специалист,89200347669	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																									1	1						Миронов Роман Владимирович	24.12.2019 10:49:22
19 059	Чистый двор	Прочее	НеТКОнижнЧ		Д-2065	дзержинск	Дзержинск г., Дзержинского пр-т38			1	Нет	8 м3	Заменить на пустой		ОКА	тико -пластик,89159536918	Нет	Нет	Нет	Да	1				1			Нет	Нет	Нет	Нет	Нет		1				1			1				1			1				1			1				1			1		Миронов Д.М.	29.11.2019 8:55:37
18 896	Чистый двор	Прочее	НеТКОнижнЧ		Д-332	дзержинск	Дзержинск г., Красноармейская  ул.19Б				Нет	8 м3			ОКА	ПИВЗАВОД,89519142127	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
11 939	Чистый двор	Прочее	НеТКОверхЧ		Д-349	дзержинск	Дзержинск г., Красноармейская  ул.4А				Нет	8 м3			ОКА	ВВСК	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
64 952	Чистый двор	Прочее	НеТКОнижнЧ		Д-590	дзержинск	Дзержинск г., Ленина пр-т77А			1	Нет	8 м3	Забрать без возврата		ОКА	Д/САД,89253217288	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет														1				1														Еналиева Марина Александровна	17.12.2019 11:15:44
35 590	Чистый двор	Прочее	НеТКОнижнЧ		Д-1156	дзержинск	Дзержинск г., Лермонтова ул.20к1				Нет	8 м3			ОКА	89101489578 Сергей	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
35 088	Чистый двор	Прочее	НеТКОнижнЧ		Д-2341	дзержинск	Дзержинск г., Науки ул.1			1	Нет	8 м3	Забрать без возврата		ОКА	ИП Орлов,89200010066	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет										1																						Еналиева Марина Александровна	09.12.2019 13:20:50
35 328	Чистый двор	Прочее	НеТКОнижнЧ		Д-2708	дзержинск	Дзержинск г., Октябрьская ул.24А				Нет	8 м3			ОКА	89103811112	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
18 985	Чистый двор	Прочее	НеТКОнижнЧ		Д-2664	дзержинск	Дзержинск г., Октябрьская ул.25А				Нет	8 м3			ОКА	89101086567	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
19 207	Чистый двор	Прочее	НеТКОнижнЧ		Д-2705	дзержинск	Дзержинск г., Октябрьская ул.29А				Нет	8 м3			ОКА	Поиск М	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
19 548	Чистый двор	Прочее	НеТКОверхЧ		Д-2713	дзержинск	Дзержинск г., Октябрьская ул.29Б				Нет	20 м3			ОКА	89527795011	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
43 219	Чистый двор	Прочее	НеТКОнижнЧ		Д-2713	дзержинск	Дзержинск г., Октябрьская ул.29Б				Нет	8 м3			ОКА	89527795011 ПОИСК М	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:38
18 936	Чистый двор	Прочее	НеТКОнижнЧ		Д-2502	дзержинск	Дзержинск г., Октябрьская ул.33			1	Нет	8 м3	Забрать без возврата		ОКА	89108726827	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																							1	1								Миронов Роман Владимирович	20.12.2019 8:27:47
19 544	Чистый двор	Прочее	НеТКОверхЧ		Д-444	дзержинск	Дзержинск г., Октябрьская ул.5Б				Нет	20 м3			ОКА	89527795011	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
35 422	Чистый двор	Прочее	НеТКОверхЧ		Д-444	дзержинск	Дзержинск г., Октябрьская ул.5Б				Нет	20 м3			ОКА	89527795011	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
22 907	Чистый двор	Прочее	НеТКОнижнЧ		Д-4032	дзержинск	Дзержинск г., Речная ул.3			1	Нет	8 м3	Забрать без возврата		ОКА	Калинов мост,89108726827	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																		1							1							Еналиева Марина Александровна	17.12.2019 14:26:55
11 961	Чистый двор	Прочее	НеТКОнижнЧ		М-1938	московский район	Дзержинск г., Садовая (п.Игумново) ул.7				Нет	8 м3			ОКА	89200231286	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
68 001	Чистый двор	Прочее	НеТКОнижнЧ		Д-2324	дзержинск	Дзержинск г., Свердлова пр-т.11А			1	Нет	8 м3	Забрать и вернуть		ОКА	экспертиза проектстрой,89307005053	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																							1									Миронов Роман Владимирович	18.12.2019 15:22:26
34 906	Чистый двор	Прочее	НеТКОнижнЧ		Д-2643	дзержинск	Дзержинск г., Урицкого ул.10А			1	Нет	8 м3	Забрать без возврата		ОКА	89200718725	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет											1							1														Еналиева Марина Александровна	17.12.2019 13:50:10
35 001	Чистый двор	Прочее	НеТКОнижнЧ		Д-1519	дзержинск	Дзержинск г., Урицкого ул.8А			1	Нет	8 м3	Заменить на пустой		ОКА	стройград,89103811112	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
18 911	Чистый двор	Прочее	НеТКОнижнЧ		9407		Дзержинск г., ЦИАЛКОВСКОГО42А				Нет	8 м3			ОКА	школа Лобачевского,89101381988	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
18 916	Чистый двор	Прочее	НеТКОнижнЧ		9408		Дзержинск г., ЦИАЛКОВСКОГО5				Нет	8 м3			ОКА	Пед.колледж89527783809	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
4 395	РЭП-2	ТБО	НН.EU.ЧС		Н-1944	нижегородский район	Зеленый Город МКК Березовая роща		8:48:00	2	Нет	1,1				НГТУ Детская дача, 8-953-560-47-43 Вадим	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 9:06:52
22 424	Чистый двор	Прочее	НеТКОверхЧ		Н-2306	нижегородский район	Кстовский р-н, Афонино д., 7			1	Нет	20 м3	Заменить на пустой		РЭП	УК Красная поляна, 89506150668	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет										1																						Кисина Татьяна Александровна	09.12.2019 8:22:36
11 926	Чистый двор	Прочее	НеТКОверхЧ		Н-2254	нижегородский район	Кстовский р-н, Афонино д., 9				Нет	20 м3			РЭП	СК СТРОЙГРУПП,89200787776	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
43 245	Чистый двор	Прочее	НеТКОверхЧ		Н-2254	нижегородский район	Кстовский р-н, Афонино д., 9				Нет	8 м3			РЭП	СК СтройГрупп 8920-078-77-76	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:38
18 871	Чистый двор	Прочее	НеТКОверхЧ		С-1937	советский район	Нижний Новгород г., 1-я Оранжерейная ул., д.				Нет	8 м3	Заменить на пустой		РЭП	СК-Альянс НН, СНТ Бугры-1, 8-960-175-95-89	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
5 133	РЭП-2	КГМ	КГМ_ЧС		С-1607	советский район	Нижний Новгород г., 1-я Оранжерейная ул.20		7:35:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
1 886	РЭП-2	ТБО	НН.EU.ЧС		С-1607	советский район	Нижний Новгород г., 1-я Оранжерейная ул.20		8:50:00	1	Нет	1,1				частный сектор	Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:06:52
12 689	РЭП-2	КГМ	КГМ_С1		С-1	советский район	Нижний Новгород г., 1-я Оранжерейная ул.20		14:44:00	1	Нет	кгм					Да	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
9 354	РЭП-2	ТБО	Фарбе_лот4_2 0,75	Фарбе	С-1	советский район	Нижний Новгород г., 1-я Оранжерейная ул.20			1	Нет	0,75					Да	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:06:53
33 041	РЭП-2	КГМ	КГМ_С1		С-2	советский район	Нижний Новгород г., 1-я Оранжерейная ул.28А		14:44:00	1	Нет	кгм				ТСЖ	Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
9 810	РЭП-2	ТБО	С2		С-2	советский район	Нижний Новгород г., 1-я Оранжерейная ул.28А		15:25:00	2	Нет	1,1				КП находится ближе к дому №3 по ул.Тимирязева,	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:54
598	РЭП-2	ТБО	С2		С-2	советский район	Нижний Новгород г., 1-я Оранжерейная ул.28А		15:25:00	2	Нет	1,1				КП находится ближе к дому № 3/2 по ул. Тимирязева	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:52
9 356	РЭП-2	ТБО	С2		С-5	советский район	Нижний Новгород г., 1-я Оранжерейная ул.30		15:25:00	1	Нет	1,1				автомойка новая кп схема прилогается	Нет	Нет	Нет	Да			1					Нет	Нет	Нет	Нет	Нет				1							1							1							1							Миронов Д.М.	29.11.2019 9:06:53
9 357	РЭП-2	ТБО	С2		С-5	советский район	Нижний Новгород г., 1-я Оранжерейная ул.30		15:30:00	1	Нет	1,1				8-960-175-63-64 Сергей	Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 9:06:53
9 817	РЭП-2	ТБО	С2		С-4	советский район	Нижний Новгород г., 1-я Оранжерейная ул.30А		15:30:00	1	Нет	1,1					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:06:54
